screenshot_title,activity,hearts,light_lvl,in_hand_item,target_mob,decision_activity,decision_hearts,decision_light,decision_mob
archering (100).png,archery,11,high,bow,no_mob,give_resistance,give_regeneration_2,,
archering (108).png,archery,3,high,bow,no_mob,give_resistance,give_regeneration_4,,
archering (112).png,archery,3,high,bow,no_mob,give_resistance,give_regeneration_4,,
archering (12).png,archery,20,high,bow,no_mob,give_resistance,,,
archering (1546).png,archery,15,high,bow,other,give_resistance,give_regeneration_1,,
archering (1564).png,archery,15,high,bow,other,give_resistance,give_regeneration_1,,
archering (1569).png,archery,20,mid,bow,no_mob,give_resistance,,place_light_source,
archering (1574).png,archery,15,high,bow,other,give_resistance,give_regeneration_1,,
archering (1609).png,archery,20,high,bow,other,give_resistance,,,
archering (1613).png,archery,20,high,crossbow,other,give_resistance,,,
archering (1615).png,archery,20,high,bow,other,give_resistance,,,
archering (1621).png,archery,20,high,bow,other,give_resistance,,,
archering (1635).png,archery,20,high,bow,no_mob,give_resistance,,,
archering (1644).png,archery,20,low,bow,other,give_resistance,,place_light_source,
archering (1648).png,archery,20,low,bow,other,give_resistance,,place_light_source,
archering (1654).png,archery,20,low,bow,other,give_resistance,,place_light_source,
archering (1665).png,archery,15,mid,bow,no_mob,give_resistance,give_regeneration_1,place_light_source,
archering (1669).png,archery,6,mid,bow,other,give_resistance,give_regeneration_3,place_light_source,
archering (1679).png,archery,11,high,bow,other,give_resistance,give_regeneration_2,,
archering (1680).png,archery,11,low,bow,other,give_resistance,give_regeneration_2,place_light_source,
archering (1682).png,archery,11,low,bow,other,give_resistance,give_regeneration_2,place_light_source,
archering (1683).png,archery,11,high,bow,other,give_resistance,give_regeneration_2,,
archering (1684).png,archery,20,low,bow,other,give_resistance,,place_light_source,
archering (1687).png,archery,11,high,bow,other,give_resistance,give_regeneration_2,,
archering (1688).png,archery,20,low,bow,other,give_resistance,,place_light_source,
archering (1697).png,archery,11,mid,bow,no_mob,give_resistance,give_regeneration_2,place_light_source,
archering (1702).png,archery,15,high,bow,other,give_resistance,give_regeneration_1,,
archering (1714).png,archery,15,high,bow,other,give_resistance,give_regeneration_1,,
archering (1722).png,archery,15,high,bow,other,give_resistance,give_regeneration_1,,
archering (1731).png,archery,11,mid,bow,other,give_resistance,give_regeneration_2,place_light_source,
archering (1746).png,archery,15,high,bow,other,give_resistance,give_regeneration_1,,
archering (1750).png,archery,15,high,bow,other,give_resistance,give_regeneration_1,,
